fusion,head,name,lr,weight_decay,label_smoothing,dropout,batch_size,test_accuracy,top3_accuracy
cross_attention,mlp,motion_inv_cross_attention_mlp,3.3709409748514875e-05,1.0868341103320915e-06,0.0659775665835287,0.1844714583774515,16,,
cross_attention,linear,motion_inv_cross_attention_linear,2.065357702023736e-05,0.0014566096837677,0.0937410437775684,0.3157908265277859,8,,
concat,mlp,motion_inv_concat_mlp,3.154399030833095e-05,0.0075568101412744,0.1550265646722229,0.3757995766256756,32,,
concat,linear,motion_inv_concat_linear,3.0955664602423724e-05,5.415244119402541e-06,0.0608484485919075,0.2099025726528951,32,,
