epoch,train_loss,train_acc,val_acc
1,1.3124320556634013,0.653112918277563,0.6722636815920398
2,0.858793344518023,0.8090921210505266,0.7238805970149254
3,0.7713843710246745,0.8418877483002266,0.7487562189054726
4,0.7201111512793777,0.863618184242101,0.7748756218905473
5,0.6778055190277201,0.8880149313424877,0.7873134328358209
6,0.6280303384729774,0.9096120517264364,0.8208955223880597
7,0.6060423905365373,0.9196107185708572,0.8538557213930348
8,0.5928504972867276,0.9314758032262365,0.8706467661691543
9,0.576938948032459,0.9424076789761365,0.8656716417910447
10,0.5771467178015054,0.9404079456072524,0.8737562189054726
