epoch,train_loss,train_acc,val_acc
1,1.3310311077881012,0.6871083855485935,0.6741293532338308
2,1.0382050135631178,0.7892281029196108,0.6902985074626866
3,0.9548973547523935,0.8214904679376083,0.6822139303482587
4,0.9135844555875012,0.841087854952673,0.7388059701492538
5,0.9159352960403466,0.8412211705105986,0.7083333333333334
6,0.8730203450131362,0.863618184242101,0.7568407960199005
7,0.862601735944383,0.8720170643914145,0.7848258706467661
8,0.8468318726758673,0.884148780162645,0.7543532338308457
9,0.8358770311872032,0.8941474470070657,0.779228855721393
10,0.8257770516080644,0.8934808692174376,0.7922885572139303
