epoch,train_loss,train_acc,val_acc
1,0.8098963582767976,0.7468889410659779,0.8203723986856517
2,0.33190828423232477,0.8924630194881428,0.8565169769989047
3,0.2282176533905056,0.9293261328950457,0.8762322015334063
4,0.1920032202567705,0.9335524771073022,0.8587075575027382
5,0.17628463768967376,0.9380136182202395,0.8838992332968236
6,0.1271061141251202,0.9629020896924161,0.8838992332968236
7,0.11742013890184452,0.9621976989903733,0.8674698795180723
8,0.09143734879548573,0.9744071378257807,0.9025191675794085
9,0.08964090067110422,0.9718243719182906,0.9025191675794085
10,0.0586754389004151,0.9830946231509744,0.9090909090909091
11,0.05796101729223027,0.9809814510448462,0.9069003285870756
12,0.042923990648434905,0.9887297487673162,0.9134720700985761
13,0.021819106651950377,0.9927212960788918,0.9211391018619934
14,0.021605947063011725,0.9943648743836582,0.9266155531215772
15,0.019614578692894583,0.9934256867809345,0.9222343921139102
16,0.015311374606142167,0.9950692650857008,0.9244249726177437
17,0.014692042517143143,0.9953040619863818,0.927710843373494
18,0.01182331882695694,0.9964780464897863,0.9309967141292442
19,0.009000370552293219,0.9967128433904673,0.932092004381161
20,0.012353430333958177,0.9964780464897863,0.9342825848849945
