epoch,train_loss,train_acc,val_acc
1,0.7625980660455779,0.7694294435313453,0.8652792990142387
2,0.3110104729584347,0.8995069265085701,0.8849945235487404
3,0.2194188792091436,0.9321436957032168,0.8685651697699891
4,0.18151111384741322,0.9422399624324959,0.8871851040525739
5,0.17764467497827036,0.9448227283399859,0.8871851040525739
6,0.14201602308233982,0.9563277764733505,0.8937568455640745
7,0.13745999095527553,0.9560929795726696,0.8926615553121577
8,0.1026551058718123,0.9680676215073961,0.9014238773274917
9,0.07609222108249901,0.9772247006339516,0.8970427163198248
10,0.05798907922705481,0.9819206386475698,0.9112814895947426
11,0.04904334574245752,0.9835642169523362,0.9123767798466593
12,0.03693285033747074,0.9901385301714017,0.9145673603504929
13,0.029518953369491733,0.9908429208734445,0.91894852135816
14,0.02333513809878394,0.9922517022775299,0.9123767798466593
15,0.02040293600552797,0.9927212960788918,0.9178532311062432
16,0.015925581703276532,0.9953040619863818,0.9211391018619934
17,0.010292843911367337,0.9960084526884245,0.9222343921139102
18,0.011047488564364268,0.9960084526884245,0.9266155531215772
19,0.00811754641162805,0.9971824371918291,0.9288061336254108
20,0.010623092969278599,0.9964780464897863,0.9299014238773274
