model,trial,val_acc,is_best_retrain,lr,weight_decay,label_smoothing,dropout,batch_size,test_acc,test_top3
efficientnet_b3_cross_attention_linear,0,0.91894852135816,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
efficientnet_b3_cross_attention_linear,1,0.0,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
efficientnet_b3_cross_attention_linear,2,0.927710843373494,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
efficientnet_b3_cross_attention_linear,3,0.9299014238773274,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
efficientnet_b3_cross_attention_linear,4,0.9145673603504929,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
efficientnet_b3_cross_attention_linear,6,0.9222343921139102,False,1.2382649697023537e-05,0.004337920697490943,0.05175599632000338,0.2650089137415928,32,,
efficientnet_b3_cross_attention_linear,7,0.9331872946330778,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
efficientnet_b3_cross_attention_linear,14,0.9342825848849945,False,2.0653577020237357e-05,0.0014566096837677405,0.09374104377756844,0.31579082652778595,8,,
efficientnet_b3_cross_attention_linear,best_retrain,0.927710843373494,True,2.0653577020237357e-05,0.0014566096837677405,0.09374104377756844,0.31579082652778595,8,0.9331872946330778,0.9857612267250822
mobilenet_cross_attention_linear,0,0.9101861993428259,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
mobilenet_cross_attention_linear,1,0.1796276013143483,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
mobilenet_cross_attention_linear,2,0.9288061336254108,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
mobilenet_cross_attention_linear,3,0.932092004381161,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
mobilenet_cross_attention_linear,4,0.891566265060241,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
mobilenet_cross_attention_linear,6,0.9211391018619934,False,1.2382649697023537e-05,0.004337920697490943,0.05175599632000338,0.2650089137415928,32,,
mobilenet_cross_attention_linear,7,0.9266155531215772,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
mobilenet_cross_attention_linear,14,0.9331872946330778,False,1.8313533274607563e-05,3.1729035223498543e-06,0.03691203414291525,0.31579082652778595,8,,
mobilenet_cross_attention_linear,best_retrain,0.9342825848849945,True,1.8313533274607563e-05,3.1729035223498543e-06,0.03691203414291525,0.31579082652778595,8,0.9266155531215772,0.9890470974808324
efficientnet_b3_concat_linear,0,0.9167579408543264,False,0.0001025350969016849,0.006351221010640704,0.146398788362281,0.23946339367881464,8,,
efficientnet_b3_concat_linear,1,0.08981380065717415,False,0.002176624112345368,0.00025378155082656634,0.1416145155592091,0.008233797718320978,8,,
efficientnet_b3_concat_linear,2,0.9342825848849945,False,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32,,
efficientnet_b3_concat_linear,3,0.9244249726177437,False,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8,,
efficientnet_b3_concat_linear,4,0.9014238773274917,False,0.00039710847107924746,1.5339162591163623e-06,0.12150897038028768,0.06820964947491662,32,,
efficientnet_b3_concat_linear,7,0.927710843373494,False,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32,,
