model,trial,val_acc,test_acc,test_top3,is_best_retrain,lr,weight_decay,label_smoothing,dropout,batch_size
efficientnet_b3_cross_attention_linear,best_retrain,0.927710843373494,0.9331872946330778,0.9857612267250822,True,2.0653577020237357e-05,0.0014566096837677405,0.09374104377756844,0.31579082652778595,8
mobilenet_cross_attention_linear,best_retrain,0.9342825848849945,0.9266155531215772,0.9890470974808324,True,1.8313533274607563e-05,3.1729035223498543e-06,0.03691203414291525,0.31579082652778595,8
efficientnet_b3_concat_linear,best_retrain,0.9419496166484118,0.9419496166484118,0.9868565169769989,True,3.0955664602423724e-05,5.415244119402541e-06,0.06084844859190755,0.20990257265289514,32
mobilenet_cross_attention_mlp,best_retrain,0.9430449069003286,0.9299014238773274,0.9879518072289156,True,3.3709409748514875e-05,1.0868341103320917e-06,0.06597756658352874,0.18447145837745157,16
mobilenet_concat_mlp,best_retrain,0.9353778751369113,0.9364731653888281,0.9846659364731654,True,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32
