model,trial,val_acc,test_acc,test_top3,is_best_retrain,lr,weight_decay,label_smoothing,dropout,batch_size
efficientnet_b3_cross_attention_linear,best_retrain,0.940854326396495,0.9375684556407448,0.9835706462212487,True,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32
mobilenet_cross_attention_linear,best_retrain,0.9419496166484118,0.9331872946330778,0.9879518072289156,True,3.154399030833095e-05,0.00755681014127443,0.15502656467222292,0.37579957662567565,32
efficientnet_b3_concat_linear,best_retrain,0.9397590361445783,0.9397590361445783,0.9901423877327492,True,3.4466110716904955e-05,8.428749384600444e-05,0.033501547280764314,0.10679642917814774,32
mobilenet_cross_attention_mlp,best_retrain,0.9288061336254108,0.9375684556407448,0.9846659364731654,True,9.180504074572426e-05,1.329652145729951e-05,0.1085392166316497,0.05636968998990506,32
mobilenet_concat_mlp,best_retrain,0.9288061336254108,0.9397590361445783,0.9890470974808324,True,2.3795221163877236e-05,1.4742753159914662e-05,0.07327236865873835,0.1824279936868144,8
