epoch,train_loss,train_acc,val_acc
1,1.0802650729285688,0.7156609532754168,0.778751369112815
2,0.39094210219449016,0.8804883775534162,0.8444687842278203
3,0.26152754725591415,0.9220474289739375,0.8663745892661555
4,0.223757443502834,0.9305001173984503,0.8795180722891566
5,0.2017774182772183,0.9359004461141113,0.8674698795180723
6,0.167567927083322,0.9483446818501996,0.8773274917853231
7,0.14393957009973946,0.9560929795726696,0.8674698795180723
8,0.12474192073382831,0.960319323784926,0.904709748083242
9,0.10309701988645847,0.9678328246067152,0.9058050383351588
10,0.09675624340340315,0.9729983564216952,0.9079956188389924
11,0.07837925351374192,0.9755811223291853,0.9167579408543264
12,0.05315985873322536,0.9833294200516554,0.9123767798466593
13,0.04580324623723454,0.9875557642639117,0.9178532311062432
14,0.041581887570764406,0.9880253580652736,0.9112814895947426
15,0.02923145031646252,0.9917821084761681,0.91894852135816
16,0.02068959684230354,0.9931908898802536,0.9211391018619934
17,0.02546432623421851,0.9924864991782109,0.9244249726177437
18,0.01646197379599694,0.99483446818502,0.9255202628696605
19,0.019270829679712442,0.99483446818502,0.9299014238773274
20,0.013435448131312843,0.9962432495891054,0.9299014238773274
