epoch,train_loss,train_acc,val_acc
1,0.8787690254310467,0.7697640314624716,0.8998756218905473
2,0.2667895756972788,0.921743767497667,0.9203980099502488
3,0.19111561777591388,0.9437408345553926,0.9247512437810945
4,0.14279782059685006,0.9590721237168378,0.9259950248756219
5,0.10485085136606125,0.9672043727502999,0.9340796019900498
6,0.07172091877176229,0.9778696173843487,0.9496268656716418
7,0.04882623222473102,0.9862684975336622,0.9558457711442786
8,0.030632667429223725,0.9912011731769097,0.9558457711442786
9,0.01676947406859616,0.9956005865884549,0.9620646766169154
10,0.01725967261588124,0.9948006932409013,0.960820895522388
