epoch,train_loss,train_acc,val_acc
1,0.6707100740648432,0.8044260765231303,0.8917910447761194
2,0.24879648453101452,0.9208105585921877,0.917910447761194
3,0.1707709461208217,0.9469404079456073,0.9135572139303483
4,0.12761791515288362,0.9609385415277963,0.927860696517413
5,0.09563641027862661,0.9714704706039194,0.9222636815920398
6,0.07138319885356476,0.979469404079456,0.9402985074626866
7,0.04866344252358658,0.986668444207439,0.9514925373134329
8,0.03033493627087571,0.9912011731769097,0.9465174129353234
9,0.017442786920912674,0.9948006932409013,0.9552238805970149
10,0.01603389062842271,0.995200639914678,0.957089552238806
