epoch,train_loss,train_acc,val_acc
1,0.9095571221089207,0.7586988401546461,0.8949004975124378
2,0.29333356234601715,0.9109452073056926,0.902363184079602
3,0.2166242890638284,0.9342754299426743,0.9216417910447762
4,0.16599870649651993,0.9493400879882682,0.9191542288557214
5,0.11127499761039394,0.9682708972137049,0.9347014925373134
6,0.07609423148344471,0.9789361418477537,0.9390547263681592
7,0.05025121059783728,0.986668444207439,0.9477611940298507
8,0.04328696717432524,0.9892014398080256,0.957089552238806
9,0.029896318475153248,0.9925343287561659,0.9564676616915423
10,0.024406144116111094,0.9928009598720171,0.9558457711442786
