epoch,train_loss,train_acc,val_acc
1,0.5995571764915836,0.8208238901479803,0.917910447761194
2,0.1993871197996418,0.935741901079856,0.9098258706467661
3,0.15902954477450798,0.9494734035461938,0.9259950248756219
4,0.10526614933992454,0.967870950539928,0.9216417910447762
5,0.07333208891312812,0.9773363551526463,0.9446517412935324
6,0.04984831576403332,0.9845353952806293,0.9490049751243781
7,0.0332951083165489,0.9909345420610586,0.9601990049751243
8,0.021156961147759966,0.9932009065457938,0.9620646766169154
9,0.008080583241073476,0.9981335821890415,0.9645522388059702
10,0.013976760855269698,0.9958672177043061,0.9639303482587065
