epoch,train_loss,train_acc,val_acc
1,0.5542707202248122,0.8305559258765498,0.8911691542288557
2,0.21681227945931725,0.9305425943207573,0.9203980099502488
3,0.1527692057934056,0.9518730835888548,0.9092039800995025
4,0.1224686436344188,0.9605385948540195,0.9253731343283582
5,0.08962778856919713,0.9716037861618451,0.9384328358208955
6,0.05005186623767656,0.9838688174910012,0.9496268656716418
7,0.028947644846493318,0.990801226503133,0.9546019900497512
8,0.025019468760247077,0.9937341687774963,0.960820895522388
9,0.0132951289236259,0.9958672177043061,0.9583333333333334
10,0.009402535848813284,0.996933742167711,0.9595771144278606
