epoch,train_loss,train_acc,val_acc
1,0.629961659031508,0.8134915344620717,0.8694029850746269
2,0.2298699160994347,0.9252099720037328,0.9191542288557214
3,0.1668509727036249,0.9457405679242767,0.9148009950248757
4,0.11744232516581338,0.9658712171710438,0.9334577114427861
5,0.0920519979310332,0.9729369417411012,0.9402985074626866
6,0.06124294412847709,0.9810691907745633,0.9490049751243781
7,0.036625365847208914,0.9889348086921744,0.9583333333333334
8,0.024872459962867462,0.9917344354086122,0.9589552238805971
9,0.02246431779292575,0.9925343287561659,0.9601990049751243
10,0.013827490609513174,0.995200639914678,0.9601990049751243
