epoch,train_loss,train_acc,val_acc
1,0.6133139012988575,0.816824423410212,0.9048507462686567
2,0.21526155511056116,0.9324090121317158,0.9197761194029851
3,0.13649599458051354,0.9578722836955073,0.9309701492537313
4,0.1104395809604349,0.9658712171710438,0.9371890547263682
5,0.07507228183835335,0.9777363018264231,0.9421641791044776
6,0.05230469006532002,0.98360218637515,0.9514925373134329
7,0.025857021197787905,0.9912011731769097,0.957089552238806
8,0.02370651598511083,0.9934675376616451,0.960820895522388
9,0.010905608354028515,0.9972003732835621,0.9620646766169154
10,0.008055416061339927,0.9974670043994134,0.9620646766169154
