epoch,train_loss,train_acc,val_acc
1,0.9282268386430033,0.7606985735235302,0.8942786069651741
2,0.27781038422725024,0.9173443540861218,0.8936567164179104
3,0.21046813264431563,0.9364084788694841,0.9160447761194029
4,0.14497581025375206,0.9566724436741768,0.9340796019900498
5,0.10544471867238998,0.9677376349820024,0.929726368159204
6,0.08369753245845857,0.9738701506465804,0.9446517412935324
7,0.055871682061279015,0.984268764164778,0.9496268656716418
8,0.032816897359275746,0.9905345953872817,0.9539800995024875
9,0.025641076629335458,0.9922676976403146,0.9539800995024875
10,0.020405449290127765,0.9942674310091988,0.9552238805970149
