epoch,train_loss,train_acc,val_acc
1,0.6363485847718874,0.8145580589254766,0.8986318407960199
2,0.22079635786066182,0.9329422743634183,0.9110696517412935
3,0.16942125981592399,0.9472070390614584,0.9029850746268657
4,0.11324289876959226,0.9662711638448207,0.9334577114427861
5,0.07943373719480352,0.9756032528996134,0.9328358208955224
6,0.045038258404752944,0.9858685508598853,0.9371890547263682
7,0.031811932010215815,0.9894680709238768,0.9527363184079602
8,0.02402868958693179,0.9929342754299427,0.9502487562189055
9,0.009583623197792355,0.9962671643780829,0.9558457711442786
10,0.0114091813808647,0.9970670577256365,0.9564676616915423
