epoch,train_loss,train_acc,val_acc
1,0.6328358122558216,0.81749100119984,0.8986318407960199
2,0.21595725298415555,0.9328089588054926,0.8799751243781094
3,0.15131311399700514,0.9540061325156646,0.9384328358208955
4,0.10361775918978562,0.9676043194240768,0.9340796019900498
5,0.07639557211188662,0.9768030929209439,0.9421641791044776
6,0.051736917929118456,0.9853352886281829,0.9508706467661692
7,0.03235512298832669,0.9894680709238768,0.9539800995024875
8,0.019065654527297506,0.9948006932409013,0.960820895522388
9,0.014464486139673636,0.9954672710305292,0.957089552238806
10,0.010171936696521052,0.9960005332622317,0.960820895522388
