epoch,train_loss,train_acc,val_acc
1,0.8571206387512336,0.7773630182642315,0.9123134328358209
2,0.2693177788790155,0.9221437141714438,0.9185323383084577
3,0.1819287421182543,0.9449406745767231,0.9353233830845771
4,0.1331271841562614,0.9613384882015731,0.927860696517413
5,0.0894761487013212,0.9729369417411012,0.9384328358208955
6,0.06093975644443945,0.981202506332489,0.9477611940298507
7,0.04472577268316837,0.986001866417811,0.9552238805970149
8,0.01678953547749231,0.995200639914678,0.9595771144278606
9,0.014425144563052232,0.9961338488201573,0.9595771144278606
10,0.015307436496635941,0.9953339554726036,0.9651741293532339
