epoch,train_loss,train_acc,val_acc
1,0.5413691706725986,0.8344220770563925,0.8980099502487562
2,0.21998093745223865,0.9297427009732036,0.9185323383084577
3,0.1460674957122625,0.9528062924943341,0.9222636815920398
4,0.11850371215342999,0.9622716971070524,0.9191542288557214
5,0.07576522290102722,0.9762698306892414,0.943407960199005
6,0.06146721879004875,0.9816024530062658,0.9502487562189055
7,0.03208387600482536,0.9886681775763232,0.9539800995024875
8,0.0184477926527421,0.9950673243567524,0.9558457711442786
9,0.011366451411070858,0.9958672177043061,0.9564676616915423
10,0.006604250741473152,0.9974670043994134,0.9558457711442786
