epoch,train_loss,train_acc,val_acc
1,0.7999066603436437,0.7930942540994534,0.9011194029850746
2,0.2583479720017955,0.9236101853086255,0.9067164179104478
3,0.19743879472171605,0.941207838954806,0.9328358208955224
4,0.1452530943033386,0.9546727103052927,0.9396766169154229
5,0.09983459561208997,0.9712038394880682,0.9347014925373134
6,0.07748091311448903,0.9781362485002,0.9508706467661692
7,0.03827558878380614,0.9890681242500999,0.9521144278606966
8,0.018602241882914074,0.9940007998933476,0.9577114427860697
9,0.013832474371478947,0.9956005865884549,0.9546019900497512
10,0.015631380215867158,0.995200639914678,0.9558457711442786
