epoch,train_loss,train_acc,val_acc
1,0.8734862113091139,0.7752299693374217,0.8731343283582089
2,0.28351133656953115,0.9150779896013865,0.9216417910447762
3,0.1781708059318184,0.9425409945340621,0.9402985074626866
4,0.13866906461040587,0.9566724436741768,0.9334577114427861
5,0.10050128739753805,0.9701373150246634,0.9365671641791045
6,0.05920986055437842,0.981202506332489,0.947139303482587
7,0.05012823708646023,0.9856019197440341,0.9527363184079602
8,0.03278438678790277,0.9889348086921744,0.9558457711442786
9,0.017762633772717643,0.9944007465671244,0.9583333333333334
10,0.015764745485370064,0.995200639914678,0.9595771144278606
