epoch,train_loss,train_acc,val_acc
1,0.8772679453467611,0.7753632848953473,0.8849502487562189
2,0.25799357218236035,0.924810025329956,0.9148009950248757
3,0.18032728595274986,0.9453406212504999,0.9284825870646766
4,0.13502634962065396,0.9593387548326889,0.9303482587064676
5,0.07548290178755346,0.9768030929209439,0.9390547263681592
6,0.05015291933627339,0.9857352353019597,0.9465174129353234
7,0.03543081326156454,0.9900013331555793,0.9514925373134329
8,0.0309602012476857,0.9910678576189841,0.9583333333333334
9,0.01771982980238609,0.9950673243567524,0.9583333333333334
10,0.01584499642905723,0.9962671643780829,0.9614427860696517
