epoch,train_loss,train_acc,val_acc
1,1.389778398455119,0.6399146780429276,0.707089552238806
2,0.8936940033727289,0.8026929742700973,0.7263681592039801
3,0.7952148290399456,0.8398880149313425,0.7736318407960199
4,0.7423717892657851,0.8662844954006133,0.7630597014925373
5,0.6819357936771023,0.8946807092387682,0.8383084577114428
6,0.657587621533351,0.9106785761898414,0.8768656716417911
7,0.6141597472450094,0.9308092254366085,0.875
8,0.5955945566930289,0.9373416877749633,0.8812189054726368
9,0.5787949006949372,0.9488068257565658,0.8911691542288557
10,0.5575570191181337,0.9585388614851353,0.8930348258706468
