epoch,train_loss,train_acc,val_acc
1,1.2941520442296435,0.6577789628049593,0.6722636815920398
2,0.8270808430278067,0.8233568857485668,0.7605721393034826
3,0.7523575517244775,0.8548193574190108,0.7723880597014925
4,0.6993584013306257,0.8718837488334888,0.7692786069651741
5,0.6561385757397722,0.8912145047327024,0.8121890547263682
6,0.6216929129577767,0.9164111451806426,0.8582089552238806
7,0.5952747362865605,0.9281429142780963,0.8582089552238806
8,0.5716822350435202,0.940541261165178,0.8812189054726368
9,0.5580749442030344,0.9485401946407146,0.8824626865671642
10,0.5548003632900572,0.9425409945340621,0.8781094527363185
