epoch,train_loss,train_acc,val_acc
1,1.3029929871337285,0.6668444207439008,0.6859452736318408
2,0.8620225233867032,0.808958805492601,0.736318407960199
3,0.7628956082232426,0.8602852952939608,0.7456467661691543
4,0.7030634634845369,0.8874816691107852,0.7854477611940298
5,0.6559645501061641,0.9053459538728169,0.8351990049751243
6,0.6240744578124777,0.9237435008665511,0.8575870646766169
7,0.5842380373497961,0.9448073590187975,0.8830845771144279
8,0.5669575663760986,0.9524063458205573,0.8774875621890548
9,0.5588665305813254,0.9530729236101854,0.9011194029850746
10,0.5532639263439395,0.9546727103052927,0.8967661691542289
