epoch,train_loss,train_acc,val_acc
1,1.2828323066655738,0.6632449006799094,0.710820895522388
2,0.8462119741036787,0.8058925476603119,0.7549751243781094
3,0.7400897270583293,0.860551926409812,0.7972636815920398
4,0.6949075397102535,0.8792161045193975,0.7922885572139303
5,0.6583346162473594,0.8913478202906279,0.8090796019900498
6,0.625013331384154,0.9169444074123451,0.8563432835820896
7,0.5892429804185314,0.9321423810158646,0.8339552238805971
8,0.5685217601428778,0.9441407812291694,0.8837064676616916
9,0.56007229045397,0.9498733502199707,0.8855721393034826
10,0.5490564115125963,0.9546727103052927,0.8837064676616916
