epoch,train_loss,train_acc,val_acc
1,1.2754561078181317,0.7052393014264765,0.677860696517413
2,0.9811285658369635,0.8160245300626583,0.7388059701492538
3,0.9007647901101996,0.8566857752299694,0.7580845771144279
4,0.8441085639897544,0.8818824156779096,0.8103233830845771
5,0.8008885402835825,0.9061458472203706,0.8302238805970149
6,0.7720237698511765,0.9146780429276097,0.8606965174129353
7,0.7429703028261495,0.9318757499000133,0.8563432835820896
8,0.7256685815609514,0.9404079456072524,0.8830845771144279
9,0.723980771726075,0.9417411011865084,0.8861940298507462
10,0.7021715894903664,0.9556059192107719,0.8849502487562189
