epoch,train_loss,train_acc,val_acc
1,1.2785623793029226,0.6949740034662045,0.695273631840796
2,0.9805286509118832,0.8254899346753766,0.7574626865671642
3,0.901823758991571,0.8570857219037462,0.7804726368159204
4,0.8360704954124072,0.8874816691107852,0.8146766169154229
5,0.7970378148906979,0.9072123716837754,0.822139303482587
6,0.7549128530661499,0.9284095453939475,0.871268656716418
7,0.7409195133629298,0.9330755899213439,0.8793532338308457
8,0.7118294645811523,0.9504066124516731,0.8781094527363185
9,0.7097741114331982,0.9502732968937475,0.8930348258706468
10,0.6995784116814795,0.9540061325156646,0.8986318407960199
