epoch,train_loss,train_acc,val_acc
1,1.3009096196517518,0.6563124916677776,0.6710199004975125
2,0.8456382988659704,0.8141581122516998,0.7251243781094527
3,0.7642659780073604,0.8452206372483669,0.7487562189054726
4,0.7092231896825988,0.8669510731902413,0.7866915422885572
5,0.6548685670820749,0.8960138648180243,0.8327114427860697
6,0.6182469754413896,0.9141447806959072,0.8401741293532339
7,0.5999172487873631,0.9257432342354353,0.8588308457711443
8,0.5802075746472304,0.9404079456072524,0.8756218905472637
9,0.5694243294161934,0.9469404079456073,0.8936567164179104
10,0.5583750094243517,0.9542727636315158,0.8949004975124378
