epoch,train_loss,train_acc,val_acc
1,1.3828815433156123,0.6468470870550593,0.664179104477612
2,0.8995391246621218,0.7970937208372217,0.7344527363184079
3,0.7902804574335818,0.8517530995867217,0.7512437810945274
4,0.7158505521985852,0.8798826823090254,0.8097014925373134
5,0.6643087214000256,0.9102786295160645,0.8439054726368159
6,0.6235840318203291,0.9261431809092121,0.8445273631840796
7,0.5977266875922942,0.9386748433542195,0.8656716417910447
8,0.5835195652342943,0.9456072523663511,0.8849502487562189
9,0.562091987068026,0.9525396613784829,0.8949004975124378
10,0.5484142160236065,0.9570723903479537,0.902363184079602
