epoch,train_loss,train_acc,val_acc
1,1.0893851278257631,0.6865751233168911,0.667910447761194
2,0.6984930133489017,0.8213571523796828,0.7014925373134329
3,0.6330012350523572,0.8505532595653913,0.7873134328358209
4,0.5510103989245018,0.8869484068790828,0.7935323383084577
5,0.5250068929152176,0.898146913744834,0.8053482587064676
6,0.4961044628482519,0.9128116251166511,0.8569651741293532
7,0.465579414634669,0.9285428609518731,0.8582089552238806
8,0.44635697878641917,0.9382748966804426,0.8805970149253731
9,0.42610312511787113,0.9486735101986402,0.8774875621890548
10,0.42486465301470444,0.943607518997467,0.8830845771144279
