epoch,train_loss,train_acc,val_acc
1,1.2335581698905245,0.720437275029996,0.7008706467661692
2,0.9513202153385647,0.8330889214771364,0.722636815920398
3,0.8835524359538927,0.8628182908945474,0.7599502487562189
4,0.8434776350857814,0.8790827889614719,0.7655472636815921
5,0.8087960383269392,0.8985468604186109,0.8376865671641791
6,0.769521175170164,0.918677509665378,0.8557213930348259
7,0.7426015910840388,0.9322756965737902,0.8364427860696517
8,0.7308322576471463,0.9368084255432609,0.8718905472636815
9,0.7160023684311574,0.9437408345553926,0.8706467661691543
10,0.7117938759835175,0.9492067724303426,0.878731343283582
