epoch,train_loss,train_acc,val_acc
1,1.3947714516646448,0.6345820557259032,0.6741293532338308
2,0.8784939124415421,0.8073590187974937,0.7481343283582089
3,0.7817632622392062,0.8518864151446474,0.7574626865671642
4,0.7248132364731791,0.8756165844554059,0.8090796019900498
5,0.6861389976487988,0.8964138114918011,0.8289800995024875
6,0.6346232559089422,0.9172110385281962,0.8302238805970149
7,0.6017065719276599,0.9369417411011866,0.8830845771144279
8,0.5910689467478555,0.946007199040128,0.8830845771144279
9,0.5695676510849884,0.9452073056925743,0.8905472636815921
10,0.5616969152412928,0.9524063458205573,0.8868159203980099
