epoch,train_loss,train_acc,val_acc
1,1.9001386529556068,0.5541927742967604,0.6685323383084577
2,1.3383339989774943,0.7688308225569924,0.7064676616915423
3,1.242518866066932,0.8185575256632449,0.7375621890547264
4,1.1733112029752133,0.8512198373550194,0.7493781094527363
5,1.1559780943061555,0.8588188241567791,0.7823383084577115
6,1.1174093623301806,0.881749100119984,0.7761194029850746
7,1.0948180630753443,0.8966804426076523,0.792910447761194
8,1.0872520401293144,0.9006799093454206,0.847636815920398
9,1.0708270891716187,0.9126783095587255,0.8638059701492538
10,1.0668378634351743,0.9158778829489401,0.8470149253731343
