epoch,train_loss,train_acc,val_acc
1,1.2183408689346333,0.677376349820024,0.6809701492537313
2,0.8139917782395224,0.8316224503399546,0.7288557213930348
3,0.7481733919572646,0.8536195173976803,0.7941542288557214
4,0.6794980657353368,0.8912145047327024,0.7835820895522388
5,0.6428967474174728,0.9018797493667511,0.8638059701492538
6,0.6035943537167813,0.9242767630982536,0.8426616915422885
7,0.58097276409822,0.9349420077323024,0.8805970149253731
8,0.560640611993108,0.9474736701773097,0.8930348258706468
9,0.5494575185976638,0.954539394747367,0.8961442786069652
10,0.5467117340020252,0.9533395547260365,0.8868159203980099
